Subject Area,BRONZE_TABLE NAME,BRONZE_TABLE_DESCRIPTION,Bronze_Attribute Column Name,Bronze_Attribute Column Physical Name,Bronze_Attribute Column Description,Natural Key Bronze,Is Multi Source,Function,Transformation Logic,Join Column Description,Silver_TABLE NAME,Silver Table Physical Name,Silver Table Description,Silver Attribute Column  Name,Silver Attribute Column Physical Name,Silver Attribute Column Definition,Comments
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",High Security Required Indicator,HIGH_SCR_REQ_IND,Indicates whether the member’s record requires additional security measures due to sensitivity or confidentiality in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",DSC_EMAIL,DSC_EMAIL,"Represents the electronic mail address of the member used for communication, notifications, and correspondence.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  b.DSC_EMAIL AS EMAIL_ADDR
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:SRC_KEY_ID is a field that represents the recipient’s identifier or key within a state assistance or Medicaid program in MEMBER FOUNDATION table.|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Email Address,EMAIL_ADDR,"Represents the electronic mail address of the member used for communication, notifications, and correspondence in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",IND_ACTIVE,IND_ACTIVE,Indicates whether the member currently has no active eligibility for any healthcare program or plan.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  if(b.IND_ACTIVE = 'Y', 'N', if(b.IND_ACTIVE = 'N', 'Y', b.IND_ACTIVE)) AS MBR_HAS_NO_ELG_IND
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Member Has No Eligibility Indicator,MBR_HAS_NO_ELG_IND,Indicates whether the member currently has no active eligibility for any healthcare program or plan in MEMBER DETAIL table.,
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Source Effective Date,SRC_EFF_DT,Source Effective Date – The date when this record becomes valid in the source system in MEMBER DETAIL table.,
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Source Termination Date,SRC_TRMNT_DT,Represents the date when the record was terminated or ended in the source system in MEMBER DETAIL table.,
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Citizenship Ind,CTZN_IND,Indicates whether the member is a citizen of the country (typically the United States in healthcare systems) in MEMBER DETAIL table.,
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Veteran Ind,VETERAN_IND,null in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_ETHNIC,CDE_ETHNIC,"CDE_ETHNIC is a coded field that identifies the ethnicity of a member, recipient in healthcare systems.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_ETHNIC) AS ETHNY_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Ethnicity Code,ETHNY_CD,"ETHNIC COde is a coded field that identifies the ethnicity of a member, recipient in healthcare systems in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_RACE,CDE_RACE,"CDE_RACE is a coded field that identifies the race of a member, recipient in healthcare systems.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_RACE) AS RACE_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Race Code,RACE_CD,"This indicates the race of a member.
 •	White
 •	Black or African American
 •	American Indian and Alaska Native
 •	Asian
 •	Native Hawaiian and Other Pacific Islander
 •	Some other race
 •	Two or more races
 •	Asked but No Answer
 •	Unknown race
  in MEMBER DETAIL table.",
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Member Health Plan Id,MBR_HLTH_PLAN_ID,An ID that uniquely identifies the member to the external organization.  In many MMIS systems this ID is identified as the Medicaid ID.  This is secondary id (HPAS) and the initial ID assigned for the member and will never change in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_MARITAL,CDE_MARITAL,"CDE_MARITAL is a coded field that identifies the marital status of a member, recipient in healthcare systems.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_MARITAL) AS MRTL_STS_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Marital Status Code,MRTL_STS_CD,Represents a coded value indicating the member’s marital status in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_LANGUAGE,CDE_LANGUAGE,CDE_LANGUAGE is a coded field that identifies the primary language preference of an individual in healthcare systems.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_LANGUAGE) AS PRI_LANG_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Primary Language Code,PRI_LANG_CD,"PRI_LANG_CD is a coded field that identifies the primary language preference of a member, recipient, or provider in healthcare systems in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_SEX,CDE_SEX,CDE_SEX is a coded field that identifies the sex/gender of an individual in healthcare systems.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_SEX) AS GNDR_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Gender Code,GNDR_CD,Gender is a coded field that identifies the sex/gender of an individual in healthcare systems in MEMBER DETAIL table.,
Member,NA,,NA,NA,NA,,N,,Hard coded as null,,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Certificate American Indian Alaskan Native Indicator,CERT_AMERICAN_INDIAN_ALASKAN_NATIVE_IND,null in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",NUM_SSN,NUM_SSN,"NUM_SSN is a data element that stores the Social Security Number of a member, recipient, or provider in healthcare systems.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  NUM_SSN AS MBR_SSN
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Member Social Security Number,MBR_SSN,"MBR_SSN is a data element that stores the Social Security Number of a member, recipient, or provider in healthcare systems in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",NAM_TITLE,NAM_TITLE,"NAM_TITLE is a data element that stores the title or prefix associated with a member, recipient name.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  INITCAP(b.NAM_TITLE) AS NAM_TITLE
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Name Title,NAM_TITLE,"NAME TITLE is a data element that stores the title or prefix associated with a member, recipient name in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",NAM_SUFFIX,NAM_SUFFIX,"The value that will be used as the name suffix.  the codes include JR, SR, etc.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  b.NAM_SUFFIX
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Name Suffix,NAM_SUFFIX,"The value that will be used as the name suffix.  the codes include JR, SR, etc in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_LANG_CORRESPON,CDE_LANG_CORRESP,"CDE_LANG_CORRESP is a coded field that identifies the preferred language for correspondence (letters, notices, communications) with a member, recipient, or provider.",,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_LANG_CORRESP) AS LANG_CRRSPDENCE_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Language Correspondence Code,LANG_CRRSPDENCE_CD,"LANG_CRRSPDENCE_CD is a coded field that identifies the preferred language for correspondence (letters, notices, communications) with a member, recipient, or provider in MEMBER DETAIL table.",
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_GIS_QUALITY,CDE_GIS_QUALITY,CDE_GIS_QUALITY is the coded field that identifies the quality or reliability of the GIS (location/address) data associated with member.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  CAST(TRIM(b.CDE_GIS_QUALITY) AS VARCHAR(2)) AS GIS_QUAL_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Gis Quality Code is the coded field that identifies the quality or reliability of the GIS (location/address) data associated with member.,GIS_QUAL_CD,This is the code that stores the precision of the address match for the latitude and longitude lookup in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_OFFICE,CDE_OFFICE,County office that the recipient lives near. Identifies the county office within county.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_OFFICE) AS OFFC_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Office Code,OFFC_CD,County office that the recipient lives near. Identifies the county office within county in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",IND_SPEC_HLTH,IND_SPEC_HLTH,Indicates if the recipient has any  special health needs.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  b.IND_SPEC_HLTH AS HLTH_SPFCN_IND
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Health Specification Indicator,HLTH_SPFCN_IND,Indicates if the recipient has any  special health needs in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",CDE_SOUNDEX,CDE_SOUNDEX,CDE_SOUNDEX is a derived field that stores the Soundex code of a member’s name (usually last name) to support phonetic matching in healthcare systems.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  TRIM(b.CDE_SOUNDEX) AS SOUNDEX_CD
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Soundex Code,SOUNDEX_CD,SOUNDEX Code is a derived field that stores the Soundex code of a member’s name (usually last name) to support phonetic matching in healthcare systems in MEMBER DETAIL table.,
Member,T_RE_BASE,"This suggests it is a base or foundational table that stores information about recipients — typically meaning patients, members, or beneficiaries in the U.S. healthcare context.",NUM_MCI,NUM_MCI,NUM_MCI is a unique numeric identifier assigned to a member in Medicaid or healthcare eligibility systems.,,N,,"WITH 
mbr_fndtn_cte AS (select SRC_KEY_ID, MBR_SK from oz_dev.silver_dmes_de.MBR_FNDTN WHERE CURR_REC_IND = '1'),
t_re_base_cte AS (select * from oz_dev.bronze_dmes_de.T_RE_BASE where CURR_REC_IND = '1')

SELECT DISTINCT
  b.NUM_MCI AS MSTR_CLNT_INDEX_NUM
FROM
  t_re_base_cte AS b
INNER JOIN mbr_fndtn_cte AS mf ON b.SAK_RECIP = mf.SRC_KEY_ID
LEFT JOIN mbr_fndtn_cte AS mf1 ON b.SAK_RECIP_MOTHER = mf1.SRC_KEY_ID",CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|CURR_REC_IND:Y/N to indicate whether this is the most current or Active record|b.SAK_RECIP:sak_recip is typically a recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.|SAK_RECIP_MOTHER:sak_recip is typically a mother recipient identifier used to uniquely represent individuals in beneficiary tables.|SRC_KEY_ID:Source Key ID – The original identifier (Plan ID) from the Plan table in PLAN FOUNDATION table.,MEMBER DETAIL,MBR_DTL,"This entity contains detailed historical information for each member.
",Master Client Index Number,MSTR_CLNT_INDEX_NUM,NUM_MCI is a unique numeric identifier assigned to a member in Medicaid or healthcare eligibility systems in MEMBER DETAIL table.,
