mapped_field_id,semantic_field_id,tgt_table_name,tgt_table_physical_name,tgt_column_name,tgt_column_physical_name,tgt_comments,source_expression,source_tables,source_tables_physical,source_columns,source_columns_physical,source_descriptions,source_datatypes,source_domain,source_relationship_type,transformations_applied,confidence_score,mapping_source,ai_reasoning,ai_generated,mapping_status,mapped_by,mapped_ts,updated_by,updated_ts,source_semantic_field
18,323,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Lock In Date,LOCK_IN_DT,"Lock-In Date � The date when the member was locked into a specific provider or plan (e.g., PCP lock-in).",TRIM(DTE_LOCK_IN),T_RE_PMP_ASSIGN,DTE_LOCK_IN,DTE_LOCK_IN,DTE_LOCK_IN,"Lock-In Date � The date when the member was locked into a specific provider or plan (e.g., PCP lock-in).",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: Lock-In Date � The date when the member was locked into a specific provider or plan (e.g., PCP lock-in). | TYPE: VARCHAR(50)"
19,325,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Call Method Code,CALL_MTHD_CD,"Call Method Code � Code representing the preferred method of communication (e.g., PHONE, EMAIL, MAIL).",TRIM(CDE_CALL_METHOD),T_RE_PMP_ASSIGN,CDE_CALL_METHOD,CDE_CALL_METHOD,CDE_CALL_METHOD,"Call Method Code � Code representing the preferred method of communication (e.g., PHONE, EMAIL, MAIL).",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: Call Method Code � Code representing the preferred method of communication (e.g., PHONE, EMAIL, MAIL). | TYPE: VARCHAR(50)"
20,329,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Primary Indicator,PRI_IND,"Primary Indicator � Indicates whether the record is the primary one among multiple entries (e.g., primary email or phone).",TRIM(IND_PRIMARY),T_RE_PMP_ASSIGN,IND_PRIMARY,IND_PRIMARY,IND_PRIMARY,"Primary Indicator � Indicates whether the record is the primary one among multiple entries (e.g., primary email or phone).",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: Primary Indicator � Indicates whether the record is the primary one among multiple entries (e.g., primary email or phone). | TYPE: VARCHAR(50)"
21,331,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Insert Date,INSRT_DT,Insert Date � The date when the record was inserted into the data warehouse or source system.,TRIM(DTE_ADDED),T_RE_PMP_ASSIGN,DTE_ADDED,DTE_ADDED,DTE_ADDED,Added Date � The date when the record was inserted into the data warehouse or source system.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Added Date � The date when the record was inserted into the data warehouse or source system. | TYPE: VARCHAR(50)
22,333,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Managed Care Region Code,MNGD_CARE_REG_CD,Managed Care Region Code � Code representing the geographic region for managed care services.,TRIM(CDE_MC_REGION),T_RE_PMP_ASSIGN,CDE_MC_REGION,CDE_MC_REGION,CDE_MC_REGION,Managed Care Region Code � Code representing the geographic region for managed care services.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Managed Care Region Code � Code representing the geographic region for managed care services. | TYPE: VARCHAR(50)
23,337,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Member Sk,MBR_SK,Member Surrogate Key � A unique warehouse-generated key representing the member entity.,oz_dev.bronze_dmes_de.member.memid = oz_dev.silver_base.mbr_fndtn.src_key_id ,MBR_FNDTN,MBR_SK,MBR_SK,MBR_SK,MBR_SK is the surrogate key  (Lookup from member foundation) assigned to a member record in the data warehouse.,VARCHAR(50),Member,JOIN,LOOKUP,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: MBR_SK is the surrogate key  (Lookup from member foundation) assigned to a member record in the data warehouse. | TYPE: VARCHAR(50)
24,339,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Provider Member Add Date,PROV_MBR_ADD_DT,Provider Member Add Date � The date when the provider added the member to their panel or system.,TRIM(DTE_PROV_MBR_ADD),T_RE_PMP_ASSIGN,DTE_PROV_MBR_ADD,DTE_PROV_MBR_ADD,DTE_PROV_MBR_ADD,Provider Member Add Date � The date when the provider added the member to their panel or system.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Provider Member Add Date � The date when the provider added the member to their panel or system. | TYPE: VARCHAR(50)
25,345,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Provider Pcp Service Location Sk,PROV_PCP_SVC_LOC_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record.,oz_dev.bronze_dmes_de.prov_fndtn.prov_sk = oz_dev.silver_base.prov_pcp_svc_loc.prov_sk ,PROV_PCP_SVC_LOC,prov_pcp_svc_loc_sk,prov_pcp_svc_loc_sk,prov_pcp_svc_loc_sk,Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record.,VARCHAR(50),Member,JOIN,LOOKUP,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record. | TYPE: VARCHAR(50)
26,347,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Term Date,TERM_DT,Termination Date � The date when the member�s enrollment or assignment was terminated.,TRIM(DTE_TERMED),T_RE_PMP_ASSIGN,DTE_TERMED,DTE_TERMED,DTE_TERMED,"DTE_TERMED is the date field that records when a record, coverage, or assignment was terminated.",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: DTE_TERMED is the date field that records when a record, coverage, or assignment was terminated. | TYPE: VARCHAR(50)"
27,353,MEMBER ASSIGNED REASON,MBR_ASSGN_RSN,Member Assigned Plan Sk,MBR_ASSGN_PLAN_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED REASON record.,oz_dev.silver_dmes_de.mbr_assgn_plan.MBR_ASSGN_PLAN_NUM = oz_dev.bronze_dmes_de.t_re_assign_reason.SAK_ASSIGN_PLAN,MBR_ASSGN_PLAN,MBR_ASSGN_PLAN_SK,MBR_ASSGN_PLAN_SK,MBR_ASSGN_PLAN_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED REASON record.,VARCHAR(50),Member,JOIN,LOOKUP,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Surrogate key that uniquely identifies a MEMBER ASSIGNED REASON record. | TYPE: VARCHAR(50)
28,361,MEMBER ASSIGNED REASON,MBR_ASSGN_RSN,Code Description,CD_DESC,Code Description � A descriptive text for the associated code value.,TRIM(DSC_COMMENT),T_RE_ASSIGN_REASON,DSC_COMMENT,DSC_COMMENT,DSC_COMMENT,"DSC_COMMENT is the descriptive text field that stores comments, notes, or explanations related to the record.",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: DSC_COMMENT is the descriptive text field that stores comments, notes, or explanations related to the record. | TYPE: VARCHAR(50)"
29,371,MEMBER ASSIGNED REASON,MBR_ASSGN_RSN,Reason Code,RSN_CD,"Reason Code � Represents the reason for an action such as termination, assignment, or change.",TRIM(CDE_REASON),T_RE_ASSIGN_REASON,CDE_REASON,CDE_REASON,CDE_REASON,CDE_REASON is the coded field that identifies the reason for a member�s assignment or reassignment in the eligibility/aid system.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: CDE_REASON is the coded field that identifies the reason for a member�s assignment or reassignment in the eligibility/aid system. | TYPE: VARCHAR(50)
30,877,MEMBER PHONE,MBR_PHONE,Phone Number,PHONE_NUM,"Stores the primary phone number associated with the member. This is typically used for contact purposes and may represent home, mobile, or work phone depending on the PHONE_TYP_CD value.","TRIM(NUM_PHONE), TRIM(NUM_PHONE)",T_RE_BASE|T_RE_MULTI_ADDRESS,NUM_PHONE|NUM_PHONE,NUM_PHONE|NUM_PHONE,NUM_PHONE|NUM_PHONE,NUM_PHONE is a data element that stores the actual phone number associated with a recipient.,VARCHAR(50),Member,CONCAT,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: NUM_PHONE is a data element that stores the actual phone number associated with a recipient. | TYPE: VARCHAR(50)
31,879,MEMBER PHONE,MBR_PHONE,Fax Number,FAX_NUM,Stores the fax number associated with the member or the member�s contact record. This is typically used for official communication in cases where fax is required for documentation or healthcare correspondence.,TRIM(NUM_FAX),T_RE_MULTI_ADDRESS,NUM_FAX,NUM_FAX,NUM_FAX,NUM_FAX is a data element that stores the actual fax number associated with a recipient.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: NUM_FAX is a data element that stores the actual fax number associated with a recipient. | TYPE: VARCHAR(50)
32,901,MEMBER PHONE,MBR_PHONE,Additional Phone Extension Number,ADDTL_PHONE_EXTN_NUM,Stores the extension number associated with the member�s additional phone number (ADDTL_PHONE_NUM). This is typically used when the secondary phone belongs to an organization or office that requires an extension to reach the member directly.,TRIM(NUM_ADD_PHONE_EXT),T_RE_MULTI_ADDRESS,NUM_ADD_PHONE_EXT,NUM_ADD_PHONE_EXT,NUM_ADD_PHONE_EXT,NUM_ADD_PHONE_EXT is a data element that stores the extension number associated with an additional phone contact for a recipient.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: NUM_ADD_PHONE_EXT is a data element that stores the extension number associated with an additional phone contact for a recipient. | TYPE: VARCHAR(50)
33,903,MEMBER PHONE,MBR_PHONE,Additional Phone Number,ADDTL_PHONE_NUM,"Stores an additional phone number for the member, typically used when the member has more than one contact number (e.g., secondary mobile, work phone, or alternate contact number).","TRIM(NUM_ADD_PHONE), TRIM(NUM_ADD_PHONE)",T_RE_BASE|T_RE_MULTI_ADDRESS,NUM_ADD_PHONE|NUM_ADD_PHONE,NUM_ADD_PHONE|NUM_ADD_PHONE,NUM_ADD_PHONE|NUM_ADD_PHONE,An additional phone number field is used to store secondary or alternate contact numbers for a recipient.,VARCHAR(50),Member,CONCAT,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: An additional phone number field is used to store secondary or alternate contact numbers for a recipient. | TYPE: VARCHAR(50)
34,907,MEMBER PHONE,MBR_PHONE,Phone Type Code,PHONE_TYP_CD,"Code representing type of phone (e.g., Home, Mobile, Work).",TRIM(CDE_PHONE),T_CDE_PHONE,CDE_PHONE,CDE_PHONE,CDE_PHONE,CDE_PHONE is a coded field that identifies the type or usage of a phone number associated with a recipient.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: CDE_PHONE is a coded field that identifies the type or usage of a phone number associated with a recipient. | TYPE: VARCHAR(50)
35,911,MEMBER PHONE,MBR_PHONE,Member Sk,MBR_SK,Surrogate or reference key from member foundation table. Please use member id to join meember tables.,oz_dev.silver_dmes_de.mbr_fndtn.SRC_KEY_ID = ON  oz_dev.bronze_dmes_de.t_re_base.SAK_RECIP AND oz_dev.silver_dmes_de.mbr_fndtn.CURR_REC_IND='1',MBR_FNDTN,MBR_SK,MBR_SK,MBR_SK,MBR_SK is the surrogate key assigned to a member record in the data warehouse.,VARCHAR(50),Member,JOIN,LOOKUP,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: MBR_SK is the surrogate key assigned to a member record in the data warehouse. | TYPE: VARCHAR(50)
36,1257,PLAN FOUNDATION,PLAN_FNDTN,Plan Foundation Ssk,PLAN_FNDTN_SSK,"It helps identify and differentiate existing records when changes occur or Every time a Plan Foundation attribute changes , a new row is inserted with a new SSK.","concat_ws('|', TENANT_CD, m.SRC_SYS_CD, 'SRC_KEY_ID', m.CDE_PGM_HEALTH) ",T_PUB_HLTH_PGM,TENANT_CD|SRC_SYS_CD|'SRC_KEY_ID|CDE_PGM_HEALTH,TENANT_CD|SRC_SYS_CD|'SRC_KEY_ID|CDE_PGM_HEALTH,TENANT_CD|SRC_SYS_CD|'SRC_KEY_ID|CDE_PGM_HEALTH,System Surrogate Key - SSK usually refers in Plan to a system-generated unique identifier used to represent an entity.,VARCHAR(50),Member,CONCAT,DERIVED,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: System Surrogate Key - SSK usually refers in Plan to a system-generated unique identifier used to represent an entity. | TYPE: VARCHAR(50)
37,1269,PLAN FOUNDATION,PLAN_FNDTN,Source Key Id,SRC_KEY_ID,Source Key ID � The original identifier (Plan ID) from the Plan table,TRIM(CDE_PGM_HEALTH),T_PUB_HLTH_PGM,CDE_PGM_HEALTH,CDE_PGM_HEALTH,CDE_PGM_HEALTH,CDE_PGM_HEALTH is a coded field that identifies the type of health program a recipient is enrolled in or eligible for.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: CDE_PGM_HEALTH is a coded field that identifies the type of health program a recipient is enrolled in or eligible for. | TYPE: VARCHAR(50)
38,2347,CASE,CASE,Case Ssk,CASE_SSK,"It helps identify and differentiate existing records when changes occur or Every time a Case attribute changes , a new row is inserted with a new SSK.","concat_ws('|', TENANT_CD, SRC_SYS_CD, 'CASE_NUM', CASE_NUM)",T_RE_CASE,TENANT_CD|SRC_SYS_CD|CASE_NUM,TENANT_CD|SRC_SYS_CD|CASE_NUM,TENANT_CD|SRC_SYS_CD|CASE_NUM,System Surrogate Key - SSK usually refers in CASE to a system-generated unique identifier used to represent an entity.,VARCHAR(50),Member,CONCAT,DERIVED,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: System Surrogate Key - SSK usually refers in CASE to a system-generated unique identifier used to represent an entity. | TYPE: VARCHAR(50)
39,2349,CASE,CASE,Name Suffix,NM_SFX,"Name Suffix � Represents suffix for the member�s name (e.g., Jr, Sr, III).",TRIM(NAM_SUFFIX),T_RE_CASE,NAM_SUFFIX,NAM_SUFFIX,NAM_SUFFIX,"Name Suffix � Represents suffix for the member�s name (e.g., Jr, Sr, III).",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: Name Suffix � Represents suffix for the member�s name (e.g., Jr, Sr, III). | TYPE: VARCHAR(50)"
40,2351,CASE,CASE,First Name,FIRST_NM,First Name � The member�s given name.,TRIM(NAM_FIRST),T_RE_CASE,NAM_FIRST,NAM_FIRST,NAM_FIRST,First Name � The member�s given name.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: First Name � The member�s given name. | TYPE: VARCHAR(50)
41,2353,CASE,CASE,Master Client Index Number,MSTR_CLNT_INDEX_NUM,"NUM_MCI (Master Client Index Number) is a unique identifier field that represents a recipient in the Master Client Index system. It ensures accurate identification, prevents duplication, supports claims adjudication, compliance reporting, and enables longitudinal tracking of individuals across multiple programs.",TRIM(NUM_MCI),T_RE_CASE,NUM_MCI,NUM_MCI,NUM_MCI,"NUM_MCI (Master Client Index Number) is a unique identifier field that represents a recipient in the Master Client Index system. It ensures accurate identification, prevents duplication, supports claims adjudication, compliance reporting, and enables longitudinal tracking of individuals across multiple programs.",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: NUM_MCI (Master Client Index Number) is a unique identifier field that represents a recipient in the Master Client Index system. It ensures accurate identification, prevents duplication, supports claims adjudication, compliance reporting, and enables longitudinal tracking of individuals across multiple programs. | TYPE: VARCHAR(50)"
42,2357,CASE,CASE,Case Worker Identifier,CASE_WRK_ID,Case Worker Identifier � Identifies the case worker assigned to the member�s case.,TRIM(ID_CASE_WORKER),T_RE_CASE,ID_CASE_WORKER,ID_CASE_WORKER,ID_CASE_WORKER,ID_CASE_WORKER is the unique identifier assigned to the case worker responsible for a recipient�s program case.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: ID_CASE_WORKER is the unique identifier assigned to the case worker responsible for a recipient�s program case. | TYPE: VARCHAR(50)
43,2359,CASE,CASE,Case Number,CASE_NUM,Case Number � A unique identifier for a case in case management systems.,TRIM(NUM_CASE),T_RE_CASE,NUM_CASE,NUM_CASE,NUM_CASE,NUM_CASE is the unique case number assigned to a recipient�s program or assistance case in state or healthcare systems.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: NUM_CASE is the unique case number assigned to a recipient�s program or assistance case in state or healthcare systems. | TYPE: VARCHAR(50)
44,2363,CASE,CASE,Quantity Adult Size,QTY_ADULT_SIZE,"Quantity Adult Size � Represents the quantity of adult-sized items or services provided in a case (e.g., clothing, supplies).",TRIM(QTY_ADULT_SIZE),T_RE_CASE,QTY_ADULT_SIZE,QTY_ADULT_SIZE,QTY_ADULT_SIZE,"QTY_ADULT_SIZE (Quantity � Adult Size) is a numeric field that records the number of adult-sized items or units allocated, purchased, or distributed. It ensures accurate inventory, supports claims/adjudication, compliance reporting, and provides analytics on adult-size demand compared to child-size allocations.",VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,"DESCRIPTION: QTY_ADULT_SIZE (Quantity � Adult Size) is a numeric field that records the number of adult-sized items or units allocated, purchased, or distributed. It ensures accurate inventory, supports claims/adjudication, compliance reporting, and provides analytics on adult-size demand compared to child-size allocations. | TYPE: VARCHAR(50)"
45,2369,CASE,CASE,Last Name,LAST_NM,Last Name � The member�s surname or family name.,TRIM(NAM_LAST),T_RE_CASE,NAM_LAST,NAM_LAST,NAM_LAST,Last Name � The member�s surname or family name.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Last Name � The member�s surname or family name. | TYPE: VARCHAR(50)
